,Artist_Surname,Artist_First_Name
308149,Foppa,Vincenzo
308150,Forain,Jean-Louis
308155,Fortuny Marsal,Mariano
308156,Fragonard,Jean Honoré
308166,Français,François-Louis
308168,Francesco di Giorgio Martini,Unknown
308170,Francia,Francesco
308180,Italian (Ferrarese) Painter,Unknown
308183,Rivalz,Antoine
308184,Le Motte,Jean François de
308211,French (Burgundian?) Painter,Unknown
308212,French (Fontainebleau) Painter,Unknown
308215,Northern French Painter,Unknown
308218,Spanish (Aragonese) Painter,Unknown
308219,Frère,Charles-Théodore
308220,Fromentin,Eugène
308223,Fungai,Bernardino
308224,Fuseli,Henry
308227,Fyt,Jan
308229,Gaddi,Agnolo
308232,Gainsborough,Thomas
308245,Gatti,Saturnino
308246,Gauguin,Paul
308251,Gentile da Fabriano (Gentile di Niccolò di Giovanni di Massio),Unknown
308252,Gentileschi,Artemisia
308253,Gericault,Théodore
308255,Gerini,Niccolò di Pietro
308267,Italian Painter,Unknown
308270,German (Nuremberg) Painter,Unknown
308271,Gérôme,Jean-Léon
308275,Gheyn,Jacques de
308279,Ghirlandaio,Domenico (Domenico Bigordi)
308281,Ghirlandaio,Davide (David Bigordi)
308283,Ghirlandaio,Domenico
308285,Ghissi,Francescuccio (Francesco di Cecco Ghissi)
308288,Giambono,Michele (Michele Giovanni Bono)
308289,Giampietrino (Giovanni Pietro Rizzoli),Unknown
308292,Giordano,Luca
308294,Giotto di Bondone,Unknown
308297,Giovanni di Paolo (Giovanni di Paolo di Grazia),Unknown
308307,Glaize,Pierre-Paul-Léon
308308,Gobert,Pierre
308309,Goes,Hugo van der
308312,Gogh,Vincent van
308326,Gossart,Jan (called Mabuse)
308328,Goya (Francisco de Goya y Lucientes),Unknown
308336,Goya,Unknown
308342,Goyen,Jan van
308348,Gozzoli,Benozzo (Benozzo di Lese di Sandro)
308353,Granacci,Francesco (Francesco di Andrea di Marco)
308354,Granacci,Francesco
308355,Granet,François Marius
308356,Greco,El (Domenikos Theotokopoulos)
308363,Greco El,Unknown
308365,Greuze,Jean-Baptiste
308375,Grooth,Georg Christoph
308376,Grooth,Johann Nikolaus
308377,Guardi,Francesco
308387,Guariento di Arpo,Unknown
308388,Guercino (Giovanni Francesco Barbieri),Unknown
308392,Guidobono,Domenico
308393,Habermann,Hugo von
308398,Hals,Dirck
308399,Hals,Frans
308412,Hanneman,Adriaen
